,Stock1,Stock2
1046,ABC,EA
1047,ABC,EFX
1048,ABC,EXPD
1049,ABC,FAST
1050,ABC,FTNT
1051,ABC,GRMN
1052,ABC,GNRC
1053,ABC,INFO
1054,ABC,ICE
1055,ABC,SJM
1056,ABC,JNJ
1057,ABC,KHC
1058,ABC,LEN
1059,ABC,MMC
1060,ABC,NDAQ
1061,ABC,ODFL
1062,ABC,ORCL
1063,ABC,PYPL
1064,ABC,PGR
1065,ABC,DGX
1066,ABC,STE
1067,ABC,TROW
1068,ABC,TSCO
1069,AME,APH
1070,AME,ADM
1071,AME,CAT
1072,AME,CSX
1073,AME,DOV
1074,AME,IR
1075,AME,ICE
1076,AME,NXPI
1077,AME,PKG
1078,AME,PNR
1079,AME,PPG
1080,AME,SWK
1081,AME,TXN
1082,AME,TJX
1083,APH,IR
1084,APH,ICE
1085,APH,MCK
1086,APH,PKG
1087,APH,PNR
1088,APH,UNP
1089,ADI,AJG
1090,ADI,CMCSA
1091,ADI,CTVA
1092,ADI,EMN
1093,ADI,ICE
1094,ADI,KEYS
1095,ADI,MCK
1096,ADI,MCHP
1097,ADI,MS
1098,ADI,PKG
1099,ADI,TRMB
1100,AOS,AMAT
1101,AOS,ADM
1102,AOS,AJG
1103,AOS,CAT
1104,AOS,DHI
1105,AOS,DRE
1106,AOS,EMN
1107,AOS,EXPD
1108,AOS,FRC
1109,AOS,FCX
1110,AOS,GRMN
1111,AOS,IEX
1112,AOS,INFO
1113,AOS,ICE
1114,AOS,IQV
1115,AOS,J
1116,AOS,KSU
1117,AOS,LEN
1118,AOS,NWSA
1119,AOS,NWS
1120,AOS,NXPI
1121,AOS,ORCL
1122,AOS,PNR
1123,AOS,PWR
1124,AOS,TROW
1125,AOS,TGT
1126,AOS,TXN
1127,AOS,WHR
1128,APA,AVB
1129,APA,BXP
1130,APA,BSX
1131,APA,CCL
1132,APA,CBOE
1133,APA,CTXS
1134,APA,CLX
1135,APA,CME
1136,APA,CCI
1137,APA,DAL
1138,APA,DLR
1139,APA,EQR
1140,APA,EXC
1141,APA,FRT
1142,APA,GIS
1143,APA,PEAK
1144,APA,HRL
1145,APA,JKHY
1146,APA,KMI
1147,APA,MRO
1148,APA,NEM
1149,APA,OKE
1150,APA,PNW
1151,APA,REG
1152,APA,RCL
1153,APA,SLB
1154,APA,SRE
1155,APA,SPG
1156,APA,UDR
1157,APA,UAL
1158,APA,VTR
1159,APA,VNO
1160,APA,WBA
1161,APA,WELL
1162,AAPL,BBY
1163,AAPL,CAG
1164,AAPL,FAST
1165,AAPL,FMC
1166,AAPL,NEE
1167,AAPL,PLD
1168,AAPL,DGX
1169,AAPL,TMUS
1170,AAPL,ZTS
1171,AMAT,FRC
1172,AMAT,FCX
1173,AMAT,J
1174,AMAT,MCK
1175,AMAT,MS
1176,AMAT,PM
1177,APTV,CMCSA
1178,APTV,MCHP
1179,APTV,NWL
1180,APTV,TJX
1181,ADM,AJG
1182,ADM,CAT
1183,ADM,DHI
1184,ADM,DOV
1185,ADM,DRE
1186,ADM,EXPD
1187,ADM,IEX
1188,ADM,KSU
1189,ADM,NXPI
1190,ADM,PNR
1191,AJG,ETN
1192,AJG,EXPD
1193,AJG,GRMN
1194,AJG,INFO
1195,AJG,MCK
1196,AJG,NXPI
1197,AJG,TROW
1198,AIZ,CZR
1199,AIZ,CDW
1200,AIZ,CE
1201,AIZ,CMCSA
1202,AIZ,DUK
1203,AIZ,GPS
1204,AIZ,GPC
1205,AIZ,HSY
1206,AIZ,IP
1207,AIZ,IPG
1208,AIZ,IRM
1209,AIZ,LKQ
1210,AIZ,LUMN
1211,AIZ,LYB
1212,AIZ,MDT
1213,AIZ,MAA
1214,AIZ,MDLZ
1215,AIZ,MSI
1216,AIZ,NTAP
1217,AIZ,NWL
1218,AIZ,NTRS
1219,AIZ,NUE
1220,AIZ,PEP
1221,AIZ,PM
1222,AIZ,PPG
1223,AIZ,RJF
1224,AIZ,RSG
1225,AIZ,RHI
1226,AIZ,SNA
1227,AIZ,TJX
1228,AIZ,VMC
1229,AIZ,WRK
1230,AIZ,WY
1231,AIZ,ZBH
1232,T,CBOE
1233,T,SRE
1234,ATO,CDNS
1235,ATO,CTLT
1236,ATO,CBOE
1237,ATO,CL
1238,ATO,DLR
1239,ATO,DG
1240,ATO,EBAY
1241,ATO,EA
1242,ATO,ENPH
1243,ATO,ETSY
1244,ATO,EVRG
1245,ATO,HOLX
1246,ATO,IPGP
1247,ATO,JNJ
1248,ATO,MNST
1249,ATO,NEM
1250,ATO,NEE
1251,ATO,NKE
1252,ATO,NLOK
1253,ATO,PYPL
1254,ATO,PKI
1255,ATO,PGR
1256,ATO,QCOM
1257,ATO,RMD
1258,ATO,ROL
1259,ATO,TMUS
1260,ATO,TTWO
1261,ATO,VRSK
1262,ATO,WMT
1263,ADP,COF
1264,ADP,CBRE
1265,ADP,CFG
1266,ADP,DFS
1267,ADP,FITB
1268,ADP,F
1269,ADP,IT
1270,ADP,IPG
1271,ADP,IVZ
1272,ADP,KEY
1273,ADP,LYB
1274,ADP,MHK
1275,ADP,NTAP
1276,ADP,NTRS
1277,ADP,PBCT
1278,ADP,PNC
1279,ADP,PVH
1280,ADP,RL
1281,ADP,RF
1282,ADP,ROST
1283,ADP,SYF
1284,ADP,TPR
1285,AVB,CBOE
1286,AVB,CLX
1287,AVB,COP
1288,AVB,EOG
1289,AVB,XOM
1290,AVB,FRT
1291,AVB,HFC
1292,AVB,HST
1293,AVB,INCY
1294,AVB,KMI
